Not new publications in all libraries
Flintas                       ;Newspaper      ;Piratai        ;2018           ;   55;   69696;           123;         8;           22;-                   ;           -;
15 min                        ;Newspaper      ;Spaustuvele    ;2013           ;   55;   11111;           123;         7;           31;-                   ;           -;
Flintas                       ;Newspaper      ;Piratai        ;2018           ;   55;   69696;           123;         8;           22;-                   ;           -;
15 min                        ;Newspaper      ;Spaustuvele    ;2013           ;   55;   11111;           123;         7;           31;-                   ;           -;
Flintas                       ;Newspaper      ;Piratai        ;2018           ;   55;   69696;           123;         8;           22;-                   ;           -;
15 min                        ;Newspaper      ;Spaustuvele    ;2013           ;   55;   11111;           123;         7;           31;-                   ;           -;
Vakaru expresas               ;Journal        ;Technologija   ;2001           ;   98;   15000;            12;        12;            -;-                   ;  9897947938;
Vakaru expresas               ;Journal        ;Technologija   ;2001           ;   98;   15000;            12;        12;            -;-                   ;  9897947938;
Vakaru expresas               ;Journal        ;Technologija   ;2001           ;   98;   15000;            12;        12;            -;-                   ;  9897947938;
Vakaru fronte nieko naujo     ;Book           ;Alma Littera   ;2005           ;  284;   15000;             -;         -;            -;Remarque            ;   983338478;
Vakaru fronte nieko naujo     ;Book           ;Alma Littera   ;2005           ;  284;   15000;             -;         -;            -;Remarque            ;   983338478;
Vakaru fronte nieko naujo     ;Book           ;Alma Littera   ;2005           ;  284;   15000;             -;         -;            -;Remarque            ;   983338478;

